latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-9.932,117.318,33,6,5.6,6,1741.709181,13.2,1,17,7,10,1977
-9.845,117.262,33,6.2,5.8,6.2,1741.733868,46.2,36,17,7,10,1977
-9.858,117.128,33,5.3,NA,5.3,1741.748858,21.3,58,17,7,10,1977
-10.008,117.158,33,5.7,NA,5.7,1741.794639,16.8,4,19,7,10,1977
-9.828,117.254,33,5.4,NA,5.4,1741.798657,4,10,19,7,10,1977
-10.014,117.514,33,5.1,NA,5.1,1741.893225,14.6,26,21,7,10,1977
-9.916,117.29,33,5.8,NA,5.8,1741.900131,11.3,36,21,7,10,1977
-9.893,117.38,33,6.1,5.7,6.1,1741.949351,3.9,47,22,7,10,1977
-9.998,117.146,33,5.5,NA,5.5,1741.974847,46.8,23,23,7,10,1977
-10.942,119.092,33,5,NA,5,1742.00885,44.6,12,0,8,10,1977
-10.079,117.195,33,5.4,NA,5.4,1742.082572,54.2,58,1,8,10,1977
-9.995,117.5,33,5,NA,5,1742.190346,5.9,34,4,8,10,1977
-10.321,117.599,33,5,NA,5,1742.288878,59.1,55,6,8,10,1977
-9.815,117.36,33,5.4,NA,5.4,1742.453155,32.6,52,10,8,10,1977
-9.945,117.344,33,5.4,NA,5.4,1742.755826,23.4,8,18,8,10,1977
-9.963,117.428,33,5.2,NA,5.2,1742.791527,47.9,59,18,8,10,1977
-10.019,117.303,33,5.2,NA,5.2,1742.812521,1.8,30,19,8,10,1977
-9.925,117.29,33,5.6,NA,5.6,1743.419003,21.9,3,10,9,10,1977
-10.162,117.376,33,5.3,NA,5.3,1743.511762,56.2,16,12,9,10,1977
-9.995,117.51,33,5.6,NA,5.6,1743.706296,4,57,16,9,10,1977
-9.992,117.465,33,5.1,NA,5.1,1745.086523,35.6,4,2,11,10,1977
-9.733,117.118,33,6.2,5.8,6.2,1750.881455,17.7,9,21,16,10,1977
-9.752,117.155,33,5.5,NA,5.5,1750.890376,8.5,22,21,16,10,1977
-9.987,117.596,33,5,NA,5,1750.967382,1.8,13,23,16,10,1977
-9.729,117.107,33,5,NA,5,1751.412215,35.4,53,9,17,10,1977
-10.232,118.183,33,5.3,NA,5.3,1752.299954,56,11,7,18,10,1977
-9.776,117.098,33,5.8,5.3,5.8,1754.482911,23.5,35,11,20,10,1977
-10.402,117.667,33,5.7,NA,5.7,1755.492063,34.2,48,11,21,10,1977
-9.693,117.221,33,5.6,NA,5.6,1759.285238,44.6,50,6,25,10,1977
-10.216,118.875,33,5,NA,5,1759.95142,2.7,50,22,25,10,1977
-10.213,118.729,33,5.7,NA,5.7,1764.077073,59.1,50,1,30,10,1977
-10.447,117.526,39,5,NA,5,1765.789286,34.3,56,18,31,10,1977
-10.238,118.033,33,5,NA,5,1765.989853,23.3,45,23,31,10,1977
-7.838,117.685,33,5.6,NA,5.6,1815.480264,34.8,31,11,20,12,1977
-8.343,117.622,33,5.1,NA,5.1,1817.759106,6.8,13,18,22,12,1977
-10.684,118.914,33,5.2,NA,5.2,1833.38653,36.2,16,9,7,1,1978
-9.662,117.114,33,5.6,NA,5.6,1882.257359,35.8,10,6,25,2,1978
-10.131,117.096,39,5,NA,5,1882.329789,53.8,54,7,25,2,1978
-9.767,117.229,33,5.1,NA,5.1,1882.591714,4.1,12,14,25,2,1978
-10.925,119.05,33,5.3,NA,5.3,1895.72605,30.7,25,17,10,3,1978
-10.858,119.111,33,5.5,NA,5.5,1896.496321,42.1,54,11,11,3,1978
-10.242,117.023,35,5.5,NA,5.5,1950.75814,43.3,11,18,4,5,1978
-8.137,117.727,33,5.4,NA,5.4,2033.873881,23.3,58,20,26,7,1978
-9.126,119.129,59,5.1,NA,5.1,2098.295126,58.9,4,7,29,9,1978
-10.143,118.854,43,5.4,NA,5.4,2104.664203,27.1,56,15,5,10,1978
-10.207,118.99,36,5.3,NA,5.3,2105.075799,9,49,1,6,10,1978
-9.524,119.293,42,5.1,NA,5.1,2170.177788,0.9,16,4,10,12,1978
-6.826,116.126,33,5.5,NA,5.5,2240.1129,34.6,42,2,18,2,1979
-10.946,119.371,33,5.1,NA,5.1,2263.929625,39.6,18,22,13,3,1979
-8.207,115.949,25,6.1,NA,6.1,2341.402001,52.9,38,9,30,5,1979
-8.449,115.901,33,5.1,NA,5.1,2363.406424,15,45,9,21,6,1979
-10.538,116.776,38,5,NA,5,2368.899317,1,35,21,26,6,1979
-10.219,117.784,33,5,NA,5,2405.924339,2.9,11,22,2,8,1979
-8.254,115.847,38,6.4,6.2,6.4,2484.070259,10.4,41,1,20,10,1979
-8.39,115.889,33,6.5,6.3,6.5,2542.83222,23.8,58,19,17,12,1979
-8.442,116.096,33,5.2,NA,5.2,2577.687047,20.9,29,16,21,1,1980
-8.239,116.347,33,5.1,NA,5.1,2620.595501,31.3,17,14,4,3,1980
-8.158,116.357,33,5.7,5.1,5.7,2620.603208,37.2,28,14,4,3,1980
-9.769,119.03,36,5.3,NA,5.3,2624.322616,34,44,7,8,3,1980
-10.965,119.103,33,5.6,NA,5.6,2728.78578,31.4,51,18,20,6,1980
-9.777,119.128,33,5,NA,5,2775.12456,22,59,2,6,8,1980
-10.251,119.811,33,5.4,NA,5.4,2777.306866,53.2,21,7,8,8,1980
-10.634,116.662,40,5.2,NA,5.2,2797.133109,40.6,11,3,28,8,1980
-8.263,118.159,33,5.1,NA,5.1,2830.339683,8.6,9,8,30,9,1980
-8.17,118.382,33,5,NA,5,2830.708053,35.8,59,16,30,9,1980
-7.688,118.764,33,5.1,NA,5.1,2872.769368,53.4,27,18,11,11,1980
-9.664,118.961,25.2,5.5,NA,5.5,3013.909077,4.22,49,21,1,4,1981
-9.413,119.516,33,5.2,NA,5.2,3072.939906,27.89,33,22,30,5,1981
-10.274,116.845,33,5.1,NA,5.1,3212.654914,4.61,43,15,17,10,1981
-9.265,118.479,33,6.5,6.4,6.5,3357.439203,27.1,32,10,11,3,1982
-9.478,118.369,33,5.2,NA,5.2,3369.494917,40.79,52,11,23,3,1982
-9.827,117.921,33,5.1,NA,5.1,3566.220068,53.91,16,5,6,10,1982
-10.733,115.036,33,5.8,5.3,5.8,3716.372963,4.02,57,8,5,3,1983
-7.45,119.814,33,5.1,NA,5.1,3856.143009,55.98,25,3,23,7,1983
-8.141,119.504,48.1,6.5,6.4,6.5,3857.984836,9.84,38,23,24,7,1983
-10.07,118.755,33,5.2,NA,5.2,3875.090842,48.75,10,2,11,8,1983
-10.394,116.967,33,5.2,NA,5.2,3925.96623,22.31,11,23,30,9,1983
-9.47,115.222,33,5,NA,5,3987.070623,41.79,41,1,1,12,1983
-8.964,119.728,35.5,5.8,NA,5.8,4004.728129,30.32,28,17,18,12,1983
-9.903,115.056,33,5.8,5.3,5.8,4079.479556,33.64,30,11,2,2,1984
-9.787,114.215,33,5,NA,5,4177.617268,51.92,48,14,8,6,1984
-9.92,119.142,33,5.4,NA,5.4,4204.151078,33.11,37,3,5,7,1984
-9.381,117.659,33,5.1,NA,5.1,4217.154414,21.36,42,3,18,7,1984
-7.85,114.759,38.4,5.1,NA,5.1,4233.945329,16.4,41,22,3,8,1984
-9.809,118.787,34.2,6.5,6.3,6.5,4295.688813,53.44,31,16,4,10,1984
-9.419,116.663,33,5,NA,5,4361.856119,48.64,32,20,9,12,1984
-10.326,117.526,33,5.1,NA,5.1,4386.548644,2.82,10,13,3,1,1985
-10.317,117.681,33,5,NA,5,4386.626315,53.62,1,15,3,1,1985
-10.563,114.969,33,5.3,NA,5.3,4416.187849,30.12,30,4,2,2,1985
-8.536,115.752,33,5.2,NA,5.2,4430.363843,56.07,43,8,16,2,1985
-6.87,117.065,33,5.1,NA,5.1,4514.060739,27.83,27,1,11,5,1985
-8.134,117.946,33,5.3,NA,5.3,4517.451684,25.48,50,10,14,5,1985
-10.789,117.283,33,5,NA,5,4583.42949,27.91,18,10,19,7,1985
-9.783,114.102,33,5.2,NA,5.2,4635.786841,3.04,53,18,9,9,1985
-10.809,119.298,39.3,5.8,5.3,5.8,4641.957438,42.63,58,22,15,9,1985
-10.529,116.526,33,5.1,NA,5.1,4869.467554,16.7,13,11,1,5,1986
-10.619,119.18,48.5,5,NA,5,4915.539002,9.76,56,12,16,6,1986
-9.917,119.201,24.9,6.6,6.5,6.6,5101.154112,55.31,41,3,19,12,1986
-8.353,116.675,10,5,NA,5,5205.474497,16.57,23,11,2,4,1987
-7.737,115.997,42.4,5.3,NA,5.3,5243.02581,10.02,37,0,10,5,1987
-10.217,117.955,27.2,5.1,NA,5.1,5292.17292,0.33,9,4,28,6,1987
-9.169,114.61,46,6.3,6,6.3,5464.849287,58.36,22,20,17,12,1987
-8.186,118.933,23.8,5.8,5.2,5.8,5559.553907,37.58,17,13,21,3,1988
-8.226,118.972,33,5.3,NA,5.3,5559.635893,41.15,15,15,21,3,1988
-9.462,119.248,33,5,NA,5,5705.748348,37.31,57,17,14,8,1988
-9.467,117.355,66.9,5.9,5.4,5.9,5706.600979,24.62,25,14,15,8,1988
-8.228,116.02,33,5.1,NA,5.1,5806.223914,26.15,22,5,23,11,1988
-10.145,119.039,33,5,NA,5,5944.872047,44.86,55,20,10,4,1989
-10.379,119.53,33,5.1,NA,5.1,6011.092285,53.41,12,2,16,6,1989
-7.974,118.969,33,5,NA,5,6133.759563,46.21,13,18,16,10,1989
-10.171,117.826,36.3,5.8,5.3,5.8,6222.835902,41.92,3,20,13,1,1990
-10.991,119.474,33,5,NA,5,6274.642409,4.18,25,15,6,3,1990
-9.503,119.746,33.8,5,NA,5,6366.991465,42.54,47,23,6,6,1990
-9.481,117.414,33,5,NA,5,6626.443639,50.44,38,10,21,2,1991
-9.499,115.639,33,5.4,NA,5.4,6644.072879,56.78,44,1,11,3,1991
-9.35,119.742,33,5,NA,5,6690.668522,40.29,2,16,26,4,1991
-9.958,119.89,33,5.3,NA,5.3,6705.832639,0.02,59,19,11,5,1991
-9.941,119.78,20.8,6,5.5,6,6711.276239,47.01,37,6,17,5,1991
-9.585,114.673,53.7,6.3,6.1,6.3,6760.188108,52.55,30,4,5,7,1991
-10.553,117.161,50.2,5.9,5.4,5.9,6854.8308,21.14,56,19,7,10,1991
-9.633,119.806,45.8,5.2,NA,5.2,6863.129339,14.9,6,3,16,10,1991
-10.128,118.989,31.7,5.4,NA,5.4,7027.63368,29.96,12,15,29,3,1992
-8.345,114.734,17.2,5.2,NA,5.2,7028.571032,17.14,42,13,30,3,1992
-9.777,117.027,38,5.1,NA,5.1,7076.571558,2.58,43,13,17,5,1992
-10.022,117.093,26.9,6,5.6,6,7230.040346,5.88,58,0,18,10,1992
-8.391,119.894,40.8,5,NA,5,7278.101956,49,26,2,5,12,1992
-7.866,116.463,35.8,5,NA,5,7289.213871,58.48,7,5,16,12,1992
-8.083,117.901,32,5,NA,5,7488.009822,8.61,14,0,2,7,1993
-8.192,117.881,24,5.2,NA,5.2,7565.88913,20.82,20,21,17,9,1993
-10.926,116.151,33,5.1,NA,5.1,7679.122889,57.59,56,2,9,1,1994
-10.12,118.899,25.7,5.2,NA,5.2,7716.987304,43.07,41,23,15,2,1994
-8.148,119.957,33,5,NA,5,7721.237455,56.11,41,5,20,2,1994
-8.522,118.244,33,5.1,NA,5.1,7755.632494,47.47,10,15,26,3,1994
